Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
2.3984406,11.430291,1,low_polar+aliphatic+G+P,0.0
4.665341,11.362618,1,low_polar+aliphatic+G+P,0.0
5.934279,10.08999,1,low_polar+aliphatic+G+P,0.0
5.656865,10.90875,1,low_polar+aliphatic+G+P,0.0
6.0694456,11.076061,1,low_polar+aliphatic+G+P,0.0
16.458408,7.2507353,0,polar,1.0
5.760717,13.20444,1,low_polar+aliphatic+G+P,0.0
5.310578,10.981749,1,low_polar+aliphatic+G+P,0.0
13.187534,3.4022171,5,polar,1.0
14.816363,8.018485,0,polar,1.0
15.476916,11.6206045,12,Q,8.0
13.154107,3.0664268,5,polar,1.0
6.3628054,12.574982,1,low_polar+aliphatic+G+P,0.0
3.5821564,9.559532,1,low_polar+aliphatic+G+P,0.0
3.5545406,8.88287,1,low_polar+aliphatic+G+P,0.0
4.110213,9.287913,1,low_polar+aliphatic+G+P,0.0
4.6749144,8.2169485,1,low_polar+aliphatic+G+P,0.0
5.130115,9.478635,1,low_polar+aliphatic+G+P,0.0
5.594639,10.145428,1,low_polar+aliphatic+G+P,0.0
14.602108,7.3192515,0,polar,1.0
5.118699,11.223422,1,low_polar+aliphatic+G+P,0.0
5.089924,11.846023,1,low_polar+aliphatic+G+P,0.0
4.198383,9.814828,1,low_polar+aliphatic+G+P,0.0
14.157399,15.199162,2,P,3.0
5.2884874,10.628253,1,low_polar+aliphatic+G+P,0.0
5.692201,10.409894,1,low_polar+aliphatic+G+P,0.0
4.436018,10.639793,1,low_polar+aliphatic+G+P,0.0
3.4609005,12.519713,1,low_polar+aliphatic+G+P,0.0
3.3501363,12.782378,1,low_polar+aliphatic+G+P,0.0
4.986668,11.60826,1,low_polar+aliphatic+G+P,0.0
3.900931,13.775117,1,low_polar+aliphatic+G+P,0.0
1.8052702,1.1691523,3,pos_neg_charged,2.0
3.5718043,8.653532,1,low_polar+aliphatic+G+P,0.0
14.198932,15.564464,2,P,3.0
2.933461,10.558393,1,low_polar+aliphatic+G+P,0.0
4.314904,14.231851,1,low_polar+aliphatic+G+P,0.0
2.5831897,1.5133512,3,pos_neg_charged,2.0
1.8995692,0.58506763,3,pos_neg_charged,2.0
15.602848,6.606866,0,polar,1.0
4.9906144,11.611322,1,low_polar+aliphatic+G+P,0.0
13.907367,15.548315,2,P,3.0
3.7096767,9.352146,1,low_polar+aliphatic+G+P,0.0
4.374443,13.852509,1,low_polar+aliphatic+G+P,0.0
3.210336,12.285623,1,low_polar+aliphatic+G+P,0.0
5.102802,13.416624,1,low_polar+aliphatic+G+P,0.0
5.226358,12.510085,1,low_polar+aliphatic+G+P,0.0
5.78518,12.034899,1,low_polar+aliphatic+G+P,0.0
2.7709374,0.85585046,3,pos_neg_charged,2.0
6.238344,12.071393,1,low_polar+aliphatic+G+P,0.0
5.1245375,11.482458,1,low_polar+aliphatic+G+P,0.0
2.9615555,1.123383,3,pos_neg_charged,2.0
16.590763,7.636832,0,polar,1.0
3.4185596,13.783093,1,low_polar+aliphatic+G+P,0.0
2.4351537,13.498453,1,low_polar+aliphatic+G+P,0.0
-5.1958714,3.7993393,6,G,4.0
2.3517556,11.537787,1,low_polar+aliphatic+G+P,0.0
2.873987,12.31147,1,low_polar+aliphatic+G+P,0.0
14.108708,15.837523,2,P,3.0
4.8685555,12.27657,1,low_polar+aliphatic+G+P,0.0
2.6794484,11.78651,1,low_polar+aliphatic+G+P,0.0
4.7921495,10.976951,1,low_polar+aliphatic+G+P,0.0
-1.3074285,6.9804125,10,aliphatic,6.0
3.9306986,10.540378,1,low_polar+aliphatic+G+P,0.0
4.882627,11.007777,1,low_polar+aliphatic+G+P,0.0
5.255552,9.621676,1,low_polar+aliphatic+G+P,0.0
6.2073984,12.270025,1,low_polar+aliphatic+G+P,0.0
15.180027,6.9480314,0,polar,1.0
-4.4668555,3.699677,6,G,4.0
4.2004952,7.9469733,1,low_polar+aliphatic+G+P,0.0
